123,234,45 67,89,123 255,0,0 0,255,0 0,0,255 255,255,0 255,0,255 0,255,255 128,128,128 192,192,192 64,64,64 32,32,32 255,128,0 0,128,255 128,0,255 255,128,128
100,150,200 200,150,100 50,50,50 150,150,150 100,200,50 50,200,100 200,100,50 255,255,255 128,0,0 0,128,0 0,0,128 255,128,64 64,128,255 128,64,255 64,255,128 255,64,128
255,128,0 128,255,0 0,255,128 255,0,128 128,0,255 0,128,255 128,128,0 0,128,128 128,0,128 128,128,255 255,128,128 128,255,255 255,255,128 64,64,128 128,64,64 64,128,64
200,100,150 100,200,150 150,100,200 50,150,100 100,50,150 150,50,100 200,150,50 150,200,100 100,50,200 50,100,150 150,50,200 200,50,150 50,200,100 100,150,50 150,100,50 200,50,100
123,234,45 67,89,123 255,0,0 0,255,0 0,0,255 255,255,0 255,0,255 0,255,255 128,128,128 192,192,192 64,64,64 32,32,32 255,128,0 0,128,255 128,0,255 255,128,128
100,150,200 200,150,100 50,50,50 150,150,150 100,200,50 50,200,100 200,100,50 255,255,255 128,0,0 0,128,0 0,0,128 255,128,64 64,128,255 128,64,255 64,255,128 255,64,128
255,128,0 128,255,0 0,255,128 255,0,128 128,0,255 0,128,255 128,128,0 0,128,128 128,0,128 128,128,255 255,128,128 128,255,255 255,255,128 64,64,128 128,64,64 64,128,64
200,100,150 100,200,150 150,100,200 50,150,100 100,50,150 150,50,100 200,150,50 150,200,100 100,50,200 50,100,150 150,50,200 200,50,150 50,200,100 100,150,50 150,100,50 200,50,100
123,234,45 67,89,123 255,0,0 0,255,0 0,0,255 255,255,0 255,0,255 0,255,255 128,128,128 192,192,192 64,64,64 32,32,32 255,128,0 0,128,255 128,0,255 255,128,128
100,150,200 200,150,100 50,50,50 150,150,150 100,200,50 50,200,100 200,100,50 255,255,255 128,0,0 0,128,0 0,0,128 255,128,64 64,128,255 128,64,255 64,255,128 255,64,128
255,128,0 128,255,0 0,255,128 255,0,128 128,0,255 0,128,255 128,128,0 0,128,128 128,0,128 128,128,255 255,128,128 128,255,255 255,255,128 64,64,128 128,64,64 64,128,64
200,100,150 100,200,150 150,100,200 50,150,100 100,50,150 150,50,100 200,150,50 150,200,100 100,50,200 50,100,150 150,50,200 200,50,150 50,200,100 100,150,50 150,100,50 200,50,100
123,234,45 67,89,123 255,0,0 0,255,0 0,0,255 255,255,0 255,0,255 0,255,255 128,128,128 192,192,192 64,64,64 32,32,32 255,128,0 0,128,255 128,0,255 255,128,128
100,150,200 200,150,100 50,50,50 150,150,150 100,200,50 50,200,100 200,100,50 255,255,255 128,0,0 0,128,0 0,0,128 255,128,64 64,128,255 128,64,255 64,255,128 255,64,128
255,128,0 128,255,0 0,255,128 255,0,128 128,0,255 0,128,255 128,128,0 0,128,128 128,0,128 128,128,255 255,128,128 128,255,255 255,255,128 64,64,128 128,64,64 64,128,64
200,100,150 100,200,150 150,100,200 50,150,100 100,50,150 150,50,100 200,150,50 150,200,100 100,50,200 50,100,150 150,50,200 200,50,150 50,200,100 100,150,50 150,100,50 200,50,100
